date_time,global_solar_kw/m2,incident_solar_kw/m2,date,hour
2024-01-01 00:00:00,0.0,0.0,2024-01-01,0
2024-01-01 01:00:00,0.0,0.0,2024-01-01,1
2024-01-01 02:00:00,0.0,0.0,2024-01-01,2
2024-01-01 03:00:00,0.0,0.0,2024-01-01,3
2024-01-01 04:00:00,0.0,0.0,2024-01-01,4
2024-01-01 05:00:00,0.0,0.0,2024-01-01,5
2024-01-01 06:00:00,0.02307868,0.05133887,2024-01-01,6
2024-01-01 07:00:00,0.1838842,0.2753157,2024-01-01,7
2024-01-01 08:00:00,0.413184,0.5882025,2024-01-01,8
2024-01-01 09:00:00,0.3634754,0.4056813,2024-01-01,9
2024-01-01 10:00:00,0.3890367,0.4146393,2024-01-01,10
2024-01-01 11:00:00,0.683795,0.8716555,2024-01-01,11
2024-01-01 12:00:00,0.4920387,0.5615323,2024-01-01,12
2024-01-01 13:00:00,0.4576861,0.53738,2024-01-01,13
2024-01-01 14:00:00,0.2827077,0.3044994,2024-01-01,14
2024-01-01 15:00:00,0.1872666,0.209757,2024-01-01,15
2024-01-01 16:00:00,0.08244862,0.1259904,2024-01-01,16
2024-01-01 17:00:00,0.000527903,0.0,2024-01-01,17
2024-01-01 18:00:00,0.0,0.0,2024-01-01,18
2024-01-01 19:00:00,0.0,0.0,2024-01-01,19
2024-01-01 20:00:00,0.0,0.0,2024-01-01,20
2024-01-01 21:00:00,0.0,0.0,2024-01-01,21
2024-01-01 22:00:00,0.0,0.0,2024-01-01,22
2024-01-01 23:00:00,0.0,0.0,2024-01-01,23
2024-01-02 00:00:00,0.0,0.0,2024-01-02,0
2024-01-02 01:00:00,0.0,0.0,2024-01-02,1
2024-01-02 02:00:00,0.0,0.0,2024-01-02,2
2024-01-02 03:00:00,0.0,0.0,2024-01-02,3
2024-01-02 04:00:00,0.0,0.0,2024-01-02,4
2024-01-02 05:00:00,0.0,0.0,2024-01-02,5
2024-01-02 06:00:00,0.02814561,0.09387162,2024-01-02,6
2024-01-02 07:00:00,0.2271498,0.3868227,2024-01-02,7
2024-01-02 08:00:00,0.4700978,0.6803224,2024-01-02,8
2024-01-02 09:00:00,0.6215374,0.839408,2024-01-02,9
2024-01-02 10:00:00,0.6202848,0.7910994,2024-01-02,10
2024-01-02 11:00:00,0.5546283,0.6572728,2024-01-02,11
2024-01-02 12:00:00,0.4833255,0.5469051,2024-01-02,12
2024-01-02 13:00:00,0.6259754,0.8220483,2024-01-02,13
2024-01-02 14:00:00,0.4609773,0.6183519,2024-01-02,14
2024-01-02 15:00:00,0.3601501,0.5560831,2024-01-02,15
2024-01-02 16:00:00,0.1019594,0.192333,2024-01-02,16
2024-01-02 17:00:00,0.000596869,0.0,2024-01-02,17
2024-01-02 18:00:00,0.0,0.0,2024-01-02,18
2024-01-02 19:00:00,0.0,0.0,2024-01-02,19
2024-01-02 20:00:00,0.0,0.0,2024-01-02,20
2024-01-02 21:00:00,0.0,0.0,2024-01-02,21
2024-01-02 22:00:00,0.0,0.0,2024-01-02,22
2024-01-02 23:00:00,0.0,0.0,2024-01-02,23
2024-01-03 00:00:00,0.0,0.0,2024-01-03,0
2024-01-03 01:00:00,0.0,0.0,2024-01-03,1
2024-01-03 02:00:00,0.0,0.0,2024-01-03,2
2024-01-03 03:00:00,0.0,0.0,2024-01-03,3
2024-01-03 04:00:00,0.0,0.0,2024-01-03,4
2024-01-03 05:00:00,0.0,0.0,2024-01-03,5
2024-01-03 06:00:00,0.01813682,0.02800582,2024-01-03,6
2024-01-03 07:00:00,0.1777246,0.2605832,2024-01-03,7
2024-01-03 08:00:00,0.3317016,0.4295418,2024-01-03,8
2024-01-03 09:00:00,0.3730539,0.4207759,2024-01-03,9
2024-01-03 10:00:00,0.7282342,0.953445,2024-01-03,10
2024-01-03 11:00:00,0.5830317,0.7042493,2024-01-03,11
2024-01-03 12:00:00,0.43233,0.4684513,2024-01-03,12
2024-01-03 13:00:00,0.5110981,0.627596,2024-01-03,13
2024-01-03 14:00:00,0.4509537,0.598357,2024-01-03,14
2024-01-03 15:00:00,0.322051,0.4846922,2024-01-03,15
2024-01-03 16:00:00,0.1029961,0.1909935,2024-01-03,16
2024-01-03 17:00:00,0.000526232,0.0,2024-01-03,17
2024-01-03 18:00:00,0.0,0.0,2024-01-03,18
2024-01-03 19:00:00,0.0,0.0,2024-01-03,19
2024-01-03 20:00:00,0.0,0.0,2024-01-03,20
2024-01-03 21:00:00,0.0,0.0,2024-01-03,21
2024-01-03 22:00:00,0.0,0.0,2024-01-03,22
2024-01-03 23:00:00,0.0,0.0,2024-01-03,23
2024-01-04 00:00:00,0.0,0.0,2024-01-04,0
2024-01-04 01:00:00,0.0,0.0,2024-01-04,1
2024-01-04 02:00:00,0.0,0.0,2024-01-04,2
2024-01-04 03:00:00,0.0,0.0,2024-01-04,3
2024-01-04 04:00:00,0.0,0.0,2024-01-04,4
2024-01-04 05:00:00,0.0,0.0,2024-01-04,5
2024-01-04 06:00:00,0.02789387,0.09652071,2024-01-04,6
2024-01-04 07:00:00,0.2418544,0.4192981,2024-01-04,7
2024-01-04 08:00:00,0.4631324,0.6690188,2024-01-04,8
2024-01-04 09:00:00,0.6364346,0.858926,2024-01-04,9
2024-01-04 10:00:00,0.7208176,0.9424869,2024-01-04,10
2024-01-04 11:00:00,0.7784738,1.00736,2024-01-04,11
2024-01-04 12:00:00,0.7962802,1.034974,2024-01-04,12
2024-01-04 13:00:00,0.6442772,0.8474017,2024-01-04,13
2024-01-04 14:00:00,0.5080242,0.6958435,2024-01-04,14
2024-01-04 15:00:00,0.3387358,0.5144529,2024-01-04,15
2024-01-04 16:00:00,0.1369763,0.3027461,2024-01-04,16
2024-01-04 17:00:00,0.001126157,0.0,2024-01-04,17
2024-01-04 18:00:00,0.0,0.0,2024-01-04,18
2024-01-04 19:00:00,0.0,0.0,2024-01-04,19
2024-01-04 20:00:00,0.0,0.0,2024-01-04,20
2024-01-04 21:00:00,0.0,0.0,2024-01-04,21
2024-01-04 22:00:00,0.0,0.0,2024-01-04,22
2024-01-04 23:00:00,0.0,0.0,2024-01-04,23
2024-01-05 00:00:00,0.0,0.0,2024-01-05,0
2024-01-05 01:00:00,0.0,0.0,2024-01-05,1
2024-01-05 02:00:00,0.0,0.0,2024-01-05,2
2024-01-05 03:00:00,0.0,0.0,2024-01-05,3
2024-01-05 04:00:00,0.0,0.0,2024-01-05,4
2024-01-05 05:00:00,0.0,0.0,2024-01-05,5
2024-01-05 06:00:00,0.01242505,0.01381386,2024-01-05,6
2024-01-05 07:00:00,0.1002673,0.1042487,2024-01-05,7
2024-01-05 08:00:00,0.2711445,0.3142116,2024-01-05,8
2024-01-05 09:00:00,0.3102231,0.3268462,2024-01-05,9
2024-01-05 10:00:00,0.4953938,0.5779077,2024-01-05,10
2024-01-05 11:00:00,0.6572602,0.8256629,2024-01-05,11
2024-01-05 12:00:00,0.6596969,0.8362839,2024-01-05,12
2024-01-05 13:00:00,0.558636,0.7072302,2024-01-05,13
2024-01-05 14:00:00,0.3696399,0.4440258,2024-01-05,14
2024-01-05 15:00:00,0.2188904,0.2615833,2024-01-05,15
2024-01-05 16:00:00,0.07158682,0.08706807,2024-01-05,16
2024-01-05 17:00:00,0.001443603,0.0,2024-01-05,17
2024-01-05 18:00:00,0.0,0.0,2024-01-05,18
2024-01-05 19:00:00,0.0,0.0,2024-01-05,19
2024-01-05 20:00:00,0.0,0.0,2024-01-05,20
2024-01-05 21:00:00,0.0,0.0,2024-01-05,21
2024-01-05 22:00:00,0.0,0.0,2024-01-05,22
2024-01-05 23:00:00,0.0,0.0,2024-01-05,23
2024-01-06 00:00:00,0.0,0.0,2024-01-06,0
2024-01-06 01:00:00,0.0,0.0,2024-01-06,1
2024-01-06 02:00:00,0.0,0.0,2024-01-06,2
2024-01-06 03:00:00,0.0,0.0,2024-01-06,3
2024-01-06 04:00:00,0.0,0.0,2024-01-06,4
2024-01-06 05:00:00,0.0,0.0,2024-01-06,5
2024-01-06 06:00:00,0.02536885,0.07790679,2024-01-06,6
2024-01-06 07:00:00,0.191736,0.2992693,2024-01-06,7
2024-01-06 08:00:00,0.3589224,0.483711,2024-01-06,8
2024-01-06 09:00:00,0.4544511,0.5601546,2024-01-06,9
2024-01-06 10:00:00,0.479143,0.5505419,2024-01-06,10
2024-01-06 11:00:00,0.5161415,0.5910696,2024-01-06,11
2024-01-06 12:00:00,0.5938557,0.7264569,2024-01-06,12
2024-01-06 13:00:00,0.5928051,0.7631084,2024-01-06,13
2024-01-06 14:00:00,0.4582534,0.6059567,2024-01-06,14
2024-01-06 15:00:00,0.2240406,0.2698941,2024-01-06,15
2024-01-06 16:00:00,0.1058807,0.1860808,2024-01-06,16
2024-01-06 17:00:00,0.000760839,0.0,2024-01-06,17
2024-01-06 18:00:00,0.0,0.0,2024-01-06,18
2024-01-06 19:00:00,0.0,0.0,2024-01-06,19
2024-01-06 20:00:00,0.0,0.0,2024-01-06,20
2024-01-06 21:00:00,0.0,0.0,2024-01-06,21
2024-01-06 22:00:00,0.0,0.0,2024-01-06,22
2024-01-06 23:00:00,0.0,0.0,2024-01-06,23
2024-01-07 00:00:00,0.0,0.0,2024-01-07,0
2024-01-07 01:00:00,0.0,0.0,2024-01-07,1
2024-01-07 02:00:00,0.0,0.0,2024-01-07,2
2024-01-07 03:00:00,0.0,0.0,2024-01-07,3
2024-01-07 04:00:00,0.0,0.0,2024-01-07,4
2024-01-07 05:00:00,0.0,0.0,2024-01-07,5
2024-01-07 06:00:00,0.02669046,0.09152426,2024-01-07,6
2024-01-07 07:00:00,0.2265887,0.3865607,2024-01-07,7
2024-01-07 08:00:00,0.3756121,0.5162122,2024-01-07,8
2024-01-07 09:00:00,0.5484697,0.7241526,2024-01-07,9
2024-01-07 10:00:00,0.7270437,0.9483424,2024-01-07,10
2024-01-07 11:00:00,0.7704372,0.9933677,2024-01-07,11
2024-01-07 12:00:00,0.7154461,0.9195413,2024-01-07,12
2024-01-07 13:00:00,0.5959499,0.7666428,2024-01-07,13
2024-01-07 14:00:00,0.4799665,0.6426423,2024-01-07,14
2024-01-07 15:00:00,0.2934245,0.4140051,2024-01-07,15
2024-01-07 16:00:00,0.1092636,0.1930274,2024-01-07,16
2024-01-07 17:00:00,0.001240389,0.0,2024-01-07,17
2024-01-07 18:00:00,0.0,0.0,2024-01-07,18
2024-01-07 19:00:00,0.0,0.0,2024-01-07,19
2024-01-07 20:00:00,0.0,0.0,2024-01-07,20
2024-01-07 21:00:00,0.0,0.0,2024-01-07,21
2024-01-07 22:00:00,0.0,0.0,2024-01-07,22
2024-01-07 23:00:00,0.0,0.0,2024-01-07,23
2024-01-08 00:00:00,0.0,0.0,2024-01-08,0
2024-01-08 01:00:00,0.0,0.0,2024-01-08,1
2024-01-08 02:00:00,0.0,0.0,2024-01-08,2
2024-01-08 03:00:00,0.0,0.0,2024-01-08,3
2024-01-08 04:00:00,0.0,0.0,2024-01-08,4
2024-01-08 05:00:00,0.0,0.0,2024-01-08,5
2024-01-08 06:00:00,0.01541429,0.02084995,2024-01-08,6
2024-01-08 07:00:00,0.1430664,0.1782145,2024-01-08,7
2024-01-08 08:00:00,0.3348981,0.43495,2024-01-08,8
2024-01-08 09:00:00,0.4079076,0.4772841,2024-01-08,9
2024-01-08 10:00:00,0.5378463,0.6473554,2024-01-08,10
2024-01-08 11:00:00,0.5744991,0.6852823,2024-01-08,11
2024-01-08 12:00:00,0.5990828,0.7325704,2024-01-08,12
2024-01-08 13:00:00,0.6341483,0.8258683,2024-01-08,13
2024-01-08 14:00:00,0.4717898,0.6261473,2024-01-08,14
2024-01-08 15:00:00,0.2869673,0.3972704,2024-01-08,15
2024-01-08 16:00:00,0.1254168,0.2445183,2024-01-08,16
2024-01-08 17:00:00,0.00130784,0.0,2024-01-08,17
2024-01-08 18:00:00,0.0,0.0,2024-01-08,18
2024-01-08 19:00:00,0.0,0.0,2024-01-08,19
2024-01-08 20:00:00,0.0,0.0,2024-01-08,20
2024-01-08 21:00:00,0.0,0.0,2024-01-08,21
2024-01-08 22:00:00,0.0,0.0,2024-01-08,22
2024-01-08 23:00:00,0.0,0.0,2024-01-08,23
2024-01-09 00:00:00,0.0,0.0,2024-01-09,0
2024-01-09 01:00:00,0.0,0.0,2024-01-09,1
2024-01-09 02:00:00,0.0,0.0,2024-01-09,2
2024-01-09 03:00:00,0.0,0.0,2024-01-09,3
2024-01-09 04:00:00,0.0,0.0,2024-01-09,4
2024-01-09 05:00:00,0.0,0.0,2024-01-09,5
2024-01-09 06:00:00,0.02409112,0.07139302,2024-01-09,6
2024-01-09 07:00:00,0.08060866,0.08067274,2024-01-09,7
2024-01-09 08:00:00,0.1851664,0.1879864,2024-01-09,8
2024-01-09 09:00:00,0.3754466,0.4229464,2024-01-09,9
2024-01-09 10:00:00,0.5849369,0.7262382,2024-01-09,10
2024-01-09 11:00:00,0.5825472,0.697589,2024-01-09,11
2024-01-09 12:00:00,0.6699169,0.8468956,2024-01-09,12
2024-01-09 13:00:00,0.3636402,0.3851588,2024-01-09,13
2024-01-09 14:00:00,0.1952057,0.193488,2024-01-09,14
2024-01-09 15:00:00,0.1896888,0.2067821,2024-01-09,15
2024-01-09 16:00:00,0.06834943,0.07607264,2024-01-09,16
2024-01-09 17:00:00,0.001395878,0.0,2024-01-09,17
2024-01-09 18:00:00,0.0,0.0,2024-01-09,18
2024-01-09 19:00:00,0.0,0.0,2024-01-09,19
2024-01-09 20:00:00,0.0,0.0,2024-01-09,20
2024-01-09 21:00:00,0.0,0.0,2024-01-09,21
2024-01-09 22:00:00,0.0,0.0,2024-01-09,22
2024-01-09 23:00:00,0.0,0.0,2024-01-09,23
2024-01-10 00:00:00,0.0,0.0,2024-01-10,0
2024-01-10 01:00:00,0.0,0.0,2024-01-10,1
2024-01-10 02:00:00,0.0,0.0,2024-01-10,2
2024-01-10 03:00:00,0.0,0.0,2024-01-10,3
2024-01-10 04:00:00,0.0,0.0,2024-01-10,4
2024-01-10 05:00:00,0.0,0.0,2024-01-10,5
2024-01-10 06:00:00,0.02392085,0.07108192,2024-01-10,6
2024-01-10 07:00:00,0.2053867,0.334816,2024-01-10,7
2024-01-10 08:00:00,0.3745561,0.5123195,2024-01-10,8
2024-01-10 09:00:00,0.5849953,0.7793911,2024-01-10,9
2024-01-10 10:00:00,0.7202128,0.935551,2024-01-10,10
2024-01-10 11:00:00,0.8623293,1.111856,2024-01-10,11
2024-01-10 12:00:00,0.8394906,1.084813,2024-01-10,12
2024-01-10 13:00:00,0.7345963,0.9650586,2024-01-10,13
2024-01-10 14:00:00,0.5894675,0.8066633,2024-01-10,14
2024-01-10 15:00:00,0.3247941,0.4712151,2024-01-10,15
2024-01-10 16:00:00,0.1318627,0.2546974,2024-01-10,16
2024-01-10 17:00:00,0.00183724,0.0,2024-01-10,17
2024-01-10 18:00:00,0.0,0.0,2024-01-10,18
2024-01-10 19:00:00,0.0,0.0,2024-01-10,19
2024-01-10 20:00:00,0.0,0.0,2024-01-10,20
2024-01-10 21:00:00,0.0,0.0,2024-01-10,21
2024-01-10 22:00:00,0.0,0.0,2024-01-10,22
2024-01-10 23:00:00,0.0,0.0,2024-01-10,23
2024-01-11 00:00:00,0.0,0.0,2024-01-11,0
2024-01-11 01:00:00,0.0,0.0,2024-01-11,1
2024-01-11 02:00:00,0.0,0.0,2024-01-11,2
2024-01-11 03:00:00,0.0,0.0,2024-01-11,3
2024-01-11 04:00:00,0.0,0.0,2024-01-11,4
2024-01-11 05:00:00,0.0,0.0,2024-01-11,5
2024-01-11 06:00:00,0.02362947,0.06958311,2024-01-11,6
2024-01-11 07:00:00,0.1750019,0.2551428,2024-01-11,7
2024-01-11 08:00:00,0.3271344,0.4180007,2024-01-11,8
2024-01-11 09:00:00,0.4274832,0.5092531,2024-01-11,9
2024-01-11 10:00:00,0.7585601,0.9860669,2024-01-11,10
2024-01-11 11:00:00,0.7339565,0.9364482,2024-01-11,11
2024-01-11 12:00:00,0.6789333,0.8578643,2024-01-11,12
2024-01-11 13:00:00,0.4178246,0.4626399,2024-01-11,13
2024-01-11 14:00:00,0.3782523,0.4500269,2024-01-11,14
2024-01-11 15:00:00,0.2486202,0.3090375,2024-01-11,15
2024-01-11 16:00:00,0.08358236,0.1030977,2024-01-11,16
2024-01-11 17:00:00,0.002121768,0.0,2024-01-11,17
2024-01-11 18:00:00,0.0,0.0,2024-01-11,18
2024-01-11 19:00:00,0.0,0.0,2024-01-11,19
2024-01-11 20:00:00,0.0,0.0,2024-01-11,20
2024-01-11 21:00:00,0.0,0.0,2024-01-11,21
2024-01-11 22:00:00,0.0,0.0,2024-01-11,22
2024-01-11 23:00:00,0.0,0.0,2024-01-11,23
2024-01-12 00:00:00,0.0,0.0,2024-01-12,0
2024-01-12 01:00:00,0.0,0.0,2024-01-12,1
2024-01-12 02:00:00,0.0,0.0,2024-01-12,2
2024-01-12 03:00:00,0.0,0.0,2024-01-12,3
2024-01-12 04:00:00,0.0,0.0,2024-01-12,4
2024-01-12 05:00:00,0.0,0.0,2024-01-12,5
2024-01-12 06:00:00,0.02428701,0.07608303,2024-01-12,6
2024-01-12 07:00:00,0.2182802,0.3653046,2024-01-12,7
2024-01-12 08:00:00,0.4147331,0.5847911,2024-01-12,8
2024-01-12 09:00:00,0.5417094,0.7078462,2024-01-12,9
2024-01-12 10:00:00,0.6444849,0.820058,2024-01-12,10
2024-01-12 11:00:00,0.5923554,0.7101659,2024-01-12,11
2024-01-12 12:00:00,0.6851009,0.8657756,2024-01-12,12
2024-01-12 13:00:00,0.5575066,0.6932489,2024-01-12,13
2024-01-12 14:00:00,0.3354188,0.3762386,2024-01-12,14
2024-01-12 15:00:00,0.2593795,0.3285814,2024-01-12,15
2024-01-12 16:00:00,0.1093632,0.169659,2024-01-12,16
2024-01-12 17:00:00,0.002543398,0.0,2024-01-12,17
2024-01-12 18:00:00,0.0,0.0,2024-01-12,18
2024-01-12 19:00:00,0.0,0.0,2024-01-12,19
2024-01-12 20:00:00,0.0,0.0,2024-01-12,20
2024-01-12 21:00:00,0.0,0.0,2024-01-12,21
2024-01-12 22:00:00,0.0,0.0,2024-01-12,22
2024-01-12 23:00:00,0.0,0.0,2024-01-12,23
2024-01-13 00:00:00,0.0,0.0,2024-01-13,0
2024-01-13 01:00:00,0.0,0.0,2024-01-13,1
2024-01-13 02:00:00,0.0,0.0,2024-01-13,2
2024-01-13 03:00:00,0.0,0.0,2024-01-13,3
2024-01-13 04:00:00,0.0,0.0,2024-01-13,4
2024-01-13 05:00:00,0.0,0.0,2024-01-13,5
2024-01-13 06:00:00,0.02367908,0.0714701,2024-01-13,6
2024-01-13 07:00:00,0.1405651,0.1726732,2024-01-13,7
2024-01-13 08:00:00,0.3297155,0.4216813,2024-01-13,8
2024-01-13 09:00:00,0.1925107,0.1893162,2024-01-13,9
2024-01-13 10:00:00,0.3613908,0.3746022,2024-01-13,10
2024-01-13 11:00:00,0.4277318,0.4538054,2024-01-13,11
2024-01-13 12:00:00,0.4010965,0.419885,2024-01-13,12
2024-01-13 13:00:00,0.3125487,0.3177235,2024-01-13,13
2024-01-13 14:00:00,0.2848274,0.3002185,2024-01-13,14
2024-01-13 15:00:00,0.230769,0.2711921,2024-01-13,15
2024-01-13 16:00:00,0.1137221,0.1789247,2024-01-13,16
2024-01-13 17:00:00,0.003210654,0.0,2024-01-13,17
2024-01-13 18:00:00,0.0,0.0,2024-01-13,18
2024-01-13 19:00:00,0.0,0.0,2024-01-13,19
2024-01-13 20:00:00,0.0,0.0,2024-01-13,20
2024-01-13 21:00:00,0.0,0.0,2024-01-13,21
2024-01-13 22:00:00,0.0,0.0,2024-01-13,22
2024-01-13 23:00:00,0.0,0.0,2024-01-13,23
2024-01-14 00:00:00,0.0,0.0,2024-01-14,0
2024-01-14 01:00:00,0.0,0.0,2024-01-14,1
2024-01-14 02:00:00,0.0,0.0,2024-01-14,2
2024-01-14 03:00:00,0.0,0.0,2024-01-14,3
2024-01-14 04:00:00,0.0,0.0,2024-01-14,4
2024-01-14 05:00:00,0.0,0.0,2024-01-14,5
2024-01-14 06:00:00,0.007457703,0.007763014,2024-01-14,6
2024-01-14 07:00:00,0.04998947,0.04921937,2024-01-14,7
2024-01-14 08:00:00,0.2266673,0.2418345,2024-01-14,8
2024-01-14 09:00:00,0.3864407,0.4380311,2024-01-14,9
2024-01-14 10:00:00,0.2996376,0.3000977,2024-01-14,10
2024-01-14 11:00:00,0.4405685,0.4710824,2024-01-14,11
2024-01-14 12:00:00,0.5689937,0.6736289,2024-01-14,12
2024-01-14 13:00:00,0.5945151,0.7511793,2024-01-14,13
2024-01-14 14:00:00,0.4485222,0.5709039,2024-01-14,14
2024-01-14 15:00:00,0.3317414,0.4730867,2024-01-14,15
2024-01-14 16:00:00,0.1194832,0.192456,2024-01-14,16
2024-01-14 17:00:00,0.004895851,0.0,2024-01-14,17
2024-01-14 18:00:00,0.0,0.0,2024-01-14,18
2024-01-14 19:00:00,0.0,0.0,2024-01-14,19
2024-01-14 20:00:00,0.0,0.0,2024-01-14,20
2024-01-14 21:00:00,0.0,0.0,2024-01-14,21
2024-01-14 22:00:00,0.0,0.0,2024-01-14,22
2024-01-14 23:00:00,0.0,0.0,2024-01-14,23
2024-01-15 00:00:00,0.0,0.0,2024-01-15,0
2024-01-15 01:00:00,0.0,0.0,2024-01-15,1
2024-01-15 02:00:00,0.0,0.0,2024-01-15,2
2024-01-15 03:00:00,0.0,0.0,2024-01-15,3
2024-01-15 04:00:00,0.0,0.0,2024-01-15,4
2024-01-15 05:00:00,0.0,0.0,2024-01-15,5
2024-01-15 06:00:00,0.02000769,0.04426481,2024-01-15,6
2024-01-15 07:00:00,0.162517,0.2219586,2024-01-15,7
2024-01-15 08:00:00,0.3392226,0.438566,2024-01-15,8
2024-01-15 09:00:00,0.5387959,0.6990349,2024-01-15,9
2024-01-15 10:00:00,0.6912451,0.8869984,2024-01-15,10
2024-01-15 11:00:00,0.744105,0.9448454,2024-01-15,11
2024-01-15 12:00:00,0.7950222,1.017809,2024-01-15,12
2024-01-15 13:00:00,0.7249724,0.9433131,2024-01-15,13
2024-01-15 14:00:00,0.5356568,0.7175892,2024-01-15,14
2024-01-15 15:00:00,0.2550747,0.313373,2024-01-15,15
2024-01-15 16:00:00,0.1388738,0.2489924,2024-01-15,16
2024-01-15 17:00:00,0.003439313,0.0,2024-01-15,17
2024-01-15 18:00:00,0.0,0.0,2024-01-15,18
2024-01-15 19:00:00,0.0,0.0,2024-01-15,19
2024-01-15 20:00:00,0.0,0.0,2024-01-15,20
2024-01-15 21:00:00,0.0,0.0,2024-01-15,21
2024-01-15 22:00:00,0.0,0.0,2024-01-15,22
2024-01-15 23:00:00,0.0,0.0,2024-01-15,23
2024-01-16 00:00:00,0.0,0.0,2024-01-16,0
2024-01-16 01:00:00,0.0,0.0,2024-01-16,1
2024-01-16 02:00:00,0.0,0.0,2024-01-16,2
2024-01-16 03:00:00,0.0,0.0,2024-01-16,3
2024-01-16 04:00:00,0.0,0.0,2024-01-16,4
2024-01-16 05:00:00,0.0,0.0,2024-01-16,5
2024-01-16 06:00:00,0.02661597,0.09924943,2024-01-16,6
2024-01-16 07:00:00,0.231325,0.3902161,2024-01-16,7
2024-01-16 08:00:00,0.4500383,0.6376179,2024-01-16,8
2024-01-16 09:00:00,0.605669,0.8022543,2024-01-16,9
2024-01-16 10:00:00,0.5563431,0.6695082,2024-01-16,10
2024-01-16 11:00:00,0.4223658,0.444908,2024-01-16,11
2024-01-16 12:00:00,0.31665,0.3164038,2024-01-16,12
2024-01-16 13:00:00,0.2894605,0.2900802,2024-01-16,13
2024-01-16 14:00:00,0.3172056,0.3439791,2024-01-16,14
2024-01-16 15:00:00,0.2584523,0.3178069,2024-01-16,15
2024-01-16 16:00:00,0.08787127,0.1035668,2024-01-16,16
2024-01-16 17:00:00,0.004359059,0.0,2024-01-16,17
2024-01-16 18:00:00,0.0,0.0,2024-01-16,18
2024-01-16 19:00:00,0.0,0.0,2024-01-16,19
2024-01-16 20:00:00,0.0,0.0,2024-01-16,20
2024-01-16 21:00:00,0.0,0.0,2024-01-16,21
2024-01-16 22:00:00,0.0,0.0,2024-01-16,22
2024-01-16 23:00:00,0.0,0.0,2024-01-16,23
2024-01-17 00:00:00,0.0,0.0,2024-01-17,0
2024-01-17 01:00:00,0.0,0.0,2024-01-17,1
2024-01-17 02:00:00,0.0,0.0,2024-01-17,2
2024-01-17 03:00:00,0.0,0.0,2024-01-17,3
2024-01-17 04:00:00,0.0,0.0,2024-01-17,4
2024-01-17 05:00:00,0.0,0.0,2024-01-17,5
2024-01-17 06:00:00,0.02379397,0.07345168,2024-01-17,6
2024-01-17 07:00:00,0.1594417,0.2133155,2024-01-17,7
2024-01-17 08:00:00,0.4003997,0.552914,2024-01-17,8
2024-01-17 09:00:00,0.5859907,0.7713318,2024-01-17,9
2024-01-17 10:00:00,0.7561464,0.973896,2024-01-17,10
2024-01-17 11:00:00,0.7807217,0.9927619,2024-01-17,11
2024-01-17 12:00:00,0.760815,0.9680886,2024-01-17,12
2024-01-17 13:00:00,0.5596459,0.6868848,2024-01-17,13
2024-01-17 14:00:00,0.2933263,0.3092341,2024-01-17,14
2024-01-17 15:00:00,0.1431605,0.142963,2024-01-17,15
2024-01-17 16:00:00,0.07862779,0.08597241,2024-01-17,16
2024-01-17 17:00:00,0.003269046,0.0,2024-01-17,17
2024-01-17 18:00:00,0.0,0.0,2024-01-17,18
2024-01-17 19:00:00,0.0,0.0,2024-01-17,19
2024-01-17 20:00:00,0.0,0.0,2024-01-17,20
2024-01-17 21:00:00,0.0,0.0,2024-01-17,21
2024-01-17 22:00:00,0.0,0.0,2024-01-17,22
2024-01-17 23:00:00,0.0,0.0,2024-01-17,23
2024-01-18 00:00:00,0.0,0.0,2024-01-18,0
2024-01-18 01:00:00,0.0,0.0,2024-01-18,1
2024-01-18 02:00:00,0.0,0.0,2024-01-18,2
2024-01-18 03:00:00,0.0,0.0,2024-01-18,3
2024-01-18 04:00:00,0.0,0.0,2024-01-18,4
2024-01-18 05:00:00,0.0,0.0,2024-01-18,5
2024-01-18 06:00:00,0.02099486,0.05095837,2024-01-18,6
2024-01-18 07:00:00,0.2176837,0.3572171,2024-01-18,7
2024-01-18 08:00:00,0.2625394,0.2954267,2024-01-18,8
2024-01-18 09:00:00,0.4375703,0.5200757,2024-01-18,9
2024-01-18 10:00:00,0.4414232,0.4831583,2024-01-18,10
2024-01-18 11:00:00,0.5616826,0.6516348,2024-01-18,11
2024-01-18 12:00:00,0.6612523,0.8169653,2024-01-18,12
2024-01-18 13:00:00,0.5687069,0.6999178,2024-01-18,13
2024-01-18 14:00:00,0.4735289,0.6058099,2024-01-18,14
2024-01-18 15:00:00,0.3066149,0.4097055,2024-01-18,15
2024-01-18 16:00:00,0.1462928,0.2552635,2024-01-18,16
2024-01-18 17:00:00,0.005151383,0.0,2024-01-18,17
2024-01-18 18:00:00,0.0,0.0,2024-01-18,18
2024-01-18 19:00:00,0.0,0.0,2024-01-18,19
2024-01-18 20:00:00,0.0,0.0,2024-01-18,20
2024-01-18 21:00:00,0.0,0.0,2024-01-18,21
2024-01-18 22:00:00,0.0,0.0,2024-01-18,22
2024-01-18 23:00:00,0.0,0.0,2024-01-18,23
2024-01-19 00:00:00,0.0,0.0,2024-01-19,0
2024-01-19 01:00:00,0.0,0.0,2024-01-19,1
2024-01-19 02:00:00,0.0,0.0,2024-01-19,2
2024-01-19 03:00:00,0.0,0.0,2024-01-19,3
2024-01-19 04:00:00,0.0,0.0,2024-01-19,4
2024-01-19 05:00:00,0.0,0.0,2024-01-19,5
2024-01-19 06:00:00,0.02074038,0.04891574,2024-01-19,6
