date_time,global_solar_kw/m2,incident_solar_kw/m2,date,hour
2024-01-01 00:00:00,0.0,0.0,2024-01-01,0
2024-01-01 01:00:00,0.0,0.0,2024-01-01,1
2024-01-01 02:00:00,0.0,0.0,2024-01-01,2
2024-01-01 03:00:00,0.0,0.0,2024-01-01,3
2024-01-01 04:00:00,0.0,0.0,2024-01-01,4
2024-01-01 05:00:00,0.0,0.0,2024-01-01,5
2024-01-01 06:00:00,0.03191799,0.0705482,2024-01-01,6
2024-01-01 07:00:00,0.1976487,0.2868644,2024-01-01,7
2024-01-01 08:00:00,0.4256943,0.6009721,2024-01-01,8
2024-01-01 09:00:00,0.3589242,0.3955354,2024-01-01,9
2024-01-01 10:00:00,0.3778425,0.3987057,2024-01-01,10
2024-01-01 11:00:00,0.6712469,0.8554376,2024-01-01,11
2024-01-01 12:00:00,0.4717713,0.5338855,2024-01-01,12
2024-01-01 13:00:00,0.4350547,0.5077353,2024-01-01,13
2024-01-01 14:00:00,0.2613403,0.2792831,2024-01-01,14
2024-01-01 15:00:00,0.166812,0.1856652,2024-01-01,15
2024-01-01 16:00:00,0.06276371,0.102977,2024-01-01,16
2024-01-01 17:00:00,0.0,0.0,2024-01-01,17
2024-01-01 18:00:00,0.0,0.0,2024-01-01,18
2024-01-01 19:00:00,0.0,0.0,2024-01-01,19
2024-01-01 20:00:00,0.0,0.0,2024-01-01,20
2024-01-01 21:00:00,0.0,0.0,2024-01-01,21
2024-01-01 22:00:00,0.0,0.0,2024-01-01,22
2024-01-01 23:00:00,0.0,0.0,2024-01-01,23
2024-01-02 00:00:00,0.0,0.0,2024-01-02,0
2024-01-02 01:00:00,0.0,0.0,2024-01-02,1
2024-01-02 02:00:00,0.0,0.0,2024-01-02,2
2024-01-02 03:00:00,0.0,0.0,2024-01-02,3
2024-01-02 04:00:00,0.0,0.0,2024-01-02,4
2024-01-02 05:00:00,0.0,0.0,2024-01-02,5
2024-01-02 06:00:00,0.03920537,0.131236,2024-01-02,6
2024-01-02 07:00:00,0.2461211,0.4070964,2024-01-02,7
2024-01-02 08:00:00,0.4864396,0.6991698,2024-01-02,8
2024-01-02 09:00:00,0.6310617,0.8513229,2024-01-02,9
2024-01-02 10:00:00,0.6180395,0.7872503,2024-01-02,10
2024-01-02 11:00:00,0.5458726,0.6453627,2024-01-02,11
2024-01-02 12:00:00,0.4668607,0.5254284,2024-01-02,12
2024-01-02 13:00:00,0.6061177,0.8009509,2024-01-02,13
2024-01-02 14:00:00,0.4367943,0.5907787,2024-01-02,14
2024-01-02 15:00:00,0.3310817,0.5255191,2024-01-02,15
2024-01-02 16:00:00,0.07852736,0.1652913,2024-01-02,16
2024-01-02 17:00:00,0.0,0.0,2024-01-02,17
2024-01-02 18:00:00,0.0,0.0,2024-01-02,18
2024-01-02 19:00:00,0.0,0.0,2024-01-02,19
2024-01-02 20:00:00,0.0,0.0,2024-01-02,20
2024-01-02 21:00:00,0.0,0.0,2024-01-02,21
2024-01-02 22:00:00,0.0,0.0,2024-01-02,22
2024-01-02 23:00:00,0.0,0.0,2024-01-02,23
2024-01-03 00:00:00,0.0,0.0,2024-01-03,0
2024-01-03 01:00:00,0.0,0.0,2024-01-03,1
2024-01-03 02:00:00,0.0,0.0,2024-01-03,2
2024-01-03 03:00:00,0.0,0.0,2024-01-03,3
2024-01-03 04:00:00,0.0,0.0,2024-01-03,4
2024-01-03 05:00:00,0.0,0.0,2024-01-03,5
2024-01-03 06:00:00,0.0250128,0.03801891,2024-01-03,6
2024-01-03 07:00:00,0.1908386,0.2709579,2024-01-03,7
2024-01-03 08:00:00,0.3388796,0.4328225,2024-01-03,8
2024-01-03 09:00:00,0.3687631,0.4106046,2024-01-03,9
2024-01-03 10:00:00,0.7293067,0.9561362,2024-01-03,10
2024-01-03 11:00:00,0.5709138,0.6868064,2024-01-03,11
2024-01-03 12:00:00,0.416549,0.4487547,2024-01-03,12
2024-01-03 13:00:00,0.4895053,0.6002362,2024-01-03,13
2024-01-03 14:00:00,0.4263286,0.5693865,2024-01-03,14
2024-01-03 15:00:00,0.2944925,0.4537607,2024-01-03,15
2024-01-03 16:00:00,0.07962515,0.1639127,2024-01-03,16
2024-01-03 17:00:00,0.0,0.0,2024-01-03,17
2024-01-03 18:00:00,0.0,0.0,2024-01-03,18
2024-01-03 19:00:00,0.0,0.0,2024-01-03,19
2024-01-03 20:00:00,0.0,0.0,2024-01-03,20
2024-01-03 21:00:00,0.0,0.0,2024-01-03,21
2024-01-03 22:00:00,0.0,0.0,2024-01-03,22
2024-01-03 23:00:00,0.0,0.0,2024-01-03,23
2024-01-04 00:00:00,0.0,0.0,2024-01-04,0
2024-01-04 01:00:00,0.0,0.0,2024-01-04,1
2024-01-04 02:00:00,0.0,0.0,2024-01-04,2
2024-01-04 03:00:00,0.0,0.0,2024-01-04,3
2024-01-04 04:00:00,0.0,0.0,2024-01-04,4
2024-01-04 05:00:00,0.0,0.0,2024-01-04,5
2024-01-04 06:00:00,0.03909227,0.1359077,2024-01-04,6
2024-01-04 07:00:00,0.262708,0.4423864,2024-01-04,7
2024-01-04 08:00:00,0.477034,0.6843217,2024-01-04,8
2024-01-04 09:00:00,0.6433758,0.8671942,2024-01-04,9
2024-01-04 10:00:00,0.7195339,0.9417737,2024-01-04,10
2024-01-04 11:00:00,0.7702428,0.9996493,2024-01-04,11
2024-01-04 12:00:00,0.7814495,1.020587,2024-01-04,12
2024-01-04 13:00:00,0.6213382,0.8219336,2024-01-04,13
2024-01-04 14:00:00,0.4806678,0.6648297,2024-01-04,14
2024-01-04 15:00:00,0.3098121,0.4821647,2024-01-04,15
2024-01-04 16:00:00,0.1075119,0.2716223,2024-01-04,16
2024-01-04 17:00:00,0.0,0.0,2024-01-04,17
2024-01-04 18:00:00,0.0,0.0,2024-01-04,18
2024-01-04 19:00:00,0.0,0.0,2024-01-04,19
2024-01-04 20:00:00,0.0,0.0,2024-01-04,20
2024-01-04 21:00:00,0.0,0.0,2024-01-04,21
2024-01-04 22:00:00,0.0,0.0,2024-01-04,22
2024-01-04 23:00:00,0.0,0.0,2024-01-04,23
2024-01-05 00:00:00,0.0,0.0,2024-01-05,0
2024-01-05 01:00:00,0.0,0.0,2024-01-05,1
2024-01-05 02:00:00,0.0,0.0,2024-01-05,2
2024-01-05 03:00:00,0.0,0.0,2024-01-05,3
2024-01-05 04:00:00,0.0,0.0,2024-01-05,4
2024-01-05 05:00:00,0.0,0.0,2024-01-05,5
2024-01-05 06:00:00,0.01746398,0.01944229,2024-01-05,6
2024-01-05 07:00:00,0.1054158,0.1082045,2024-01-05,7
2024-01-05 08:00:00,0.2736049,0.3115811,2024-01-05,8
2024-01-05 09:00:00,0.3026647,0.3150443,2024-01-05,9
2024-01-05 10:00:00,0.4809999,0.5532758,2024-01-05,10
2024-01-05 11:00:00,0.6393977,0.7998942,2024-01-05,11
2024-01-05 12:00:00,0.6360619,0.8049877,2024-01-05,12
2024-01-05 13:00:00,0.5309274,0.6703384,2024-01-05,13
2024-01-05 14:00:00,0.3425635,0.4079636,2024-01-05,14
2024-01-05 15:00:00,0.1963942,0.2338283,2024-01-05,15
2024-01-05 16:00:00,0.05485381,0.0682961,2024-01-05,16
2024-01-05 17:00:00,0.0,0.0,2024-01-05,17
2024-01-05 18:00:00,0.0,0.0,2024-01-05,18
2024-01-05 19:00:00,0.0,0.0,2024-01-05,19
2024-01-05 20:00:00,0.0,0.0,2024-01-05,20
2024-01-05 21:00:00,0.0,0.0,2024-01-05,21
2024-01-05 22:00:00,0.0,0.0,2024-01-05,22
2024-01-05 23:00:00,0.0,0.0,2024-01-05,23
2024-01-06 00:00:00,0.0,0.0,2024-01-06,0
2024-01-06 01:00:00,0.0,0.0,2024-01-06,1
2024-01-06 02:00:00,0.0,0.0,2024-01-06,2
2024-01-06 03:00:00,0.0,0.0,2024-01-06,3
2024-01-06 04:00:00,0.0,0.0,2024-01-06,4
2024-01-06 05:00:00,0.0,0.0,2024-01-06,5
2024-01-06 06:00:00,0.03567537,0.1098222,2024-01-06,6
2024-01-06 07:00:00,0.2068612,0.3127908,2024-01-06,7
2024-01-06 08:00:00,0.3677062,0.4894695,2024-01-06,8
2024-01-06 09:00:00,0.45475,0.5556142,2024-01-06,9
2024-01-06 10:00:00,0.4707365,0.5360486,2024-01-06,10
2024-01-06 11:00:00,0.5031266,0.5722788,2024-01-06,11
2024-01-06 12:00:00,0.5767336,0.7042583,2024-01-06,12
2024-01-06 13:00:00,0.5707176,0.7370988,2024-01-06,13
2024-01-06 14:00:00,0.4329768,0.5758742,2024-01-06,14
2024-01-06 15:00:00,0.201591,0.2423082,2024-01-06,15
2024-01-06 16:00:00,0.08291234,0.1594866,2024-01-06,16
2024-01-06 17:00:00,0.0,0.0,2024-01-06,17
2024-01-06 18:00:00,0.0,0.0,2024-01-06,18
2024-01-06 19:00:00,0.0,0.0,2024-01-06,19
2024-01-06 20:00:00,0.0,0.0,2024-01-06,20
2024-01-06 21:00:00,0.0,0.0,2024-01-06,21
2024-01-06 22:00:00,0.0,0.0,2024-01-06,22
2024-01-06 23:00:00,0.0,0.0,2024-01-06,23
2024-01-07 00:00:00,0.0,0.0,2024-01-07,0
2024-01-07 01:00:00,0.0,0.0,2024-01-07,1
2024-01-07 02:00:00,0.0,0.0,2024-01-07,2
2024-01-07 03:00:00,0.0,0.0,2024-01-07,3
2024-01-07 04:00:00,0.0,0.0,2024-01-07,4
2024-01-07 05:00:00,0.0,0.0,2024-01-07,5
2024-01-07 06:00:00,0.03760547,0.1291598,2024-01-07,6
2024-01-07 07:00:00,0.24562,0.4064983,2024-01-07,7
2024-01-07 08:00:00,0.3874036,0.5276174,2024-01-07,8
2024-01-07 09:00:00,0.5555155,0.7316842,2024-01-07,9
2024-01-07 10:00:00,0.729685,0.9530886,2024-01-07,10
2024-01-07 11:00:00,0.7653952,0.9898327,2024-01-07,11
2024-01-07 12:00:00,0.7027079,0.9069079,2024-01-07,12
2024-01-07 13:00:00,0.5777311,0.7471442,2024-01-07,13
2024-01-07 14:00:00,0.4570984,0.6178598,2024-01-07,14
2024-01-07 15:00:00,0.2686047,0.385477,2024-01-07,15
2024-01-07 16:00:00,0.08622422,0.1671091,2024-01-07,16
2024-01-07 17:00:00,3.45107e-06,0.0,2024-01-07,17
2024-01-07 18:00:00,0.0,0.0,2024-01-07,18
2024-01-07 19:00:00,0.0,0.0,2024-01-07,19
2024-01-07 20:00:00,0.0,0.0,2024-01-07,20
2024-01-07 21:00:00,0.0,0.0,2024-01-07,21
2024-01-07 22:00:00,0.0,0.0,2024-01-07,22
2024-01-07 23:00:00,0.0,0.0,2024-01-07,23
2024-01-08 00:00:00,0.0,0.0,2024-01-08,0
2024-01-08 01:00:00,0.0,0.0,2024-01-08,1
2024-01-08 02:00:00,0.0,0.0,2024-01-08,2
2024-01-08 03:00:00,0.0,0.0,2024-01-08,3
2024-01-08 04:00:00,0.0,0.0,2024-01-08,4
2024-01-08 05:00:00,0.0,0.0,2024-01-08,5
2024-01-08 06:00:00,0.02148226,0.02865126,2024-01-08,6
2024-01-08 07:00:00,0.1527461,0.1848406,2024-01-08,7
2024-01-08 08:00:00,0.3418506,0.4375307,2024-01-08,8
2024-01-08 09:00:00,0.4052967,0.4685869,2024-01-08,9
2024-01-08 10:00:00,0.5307838,0.6344723,2024-01-08,10
2024-01-08 11:00:00,0.5613353,0.6660034,2024-01-08,11
2024-01-08 12:00:00,0.5809789,0.7087601,2024-01-08,12
2024-01-08 13:00:00,0.6111079,0.7996288,2024-01-08,13
2024-01-08 14:00:00,0.4458422,0.5953285,2024-01-08,14
2024-01-08 15:00:00,0.2611183,0.365671,2024-01-08,15
2024-01-08 16:00:00,0.09947739,0.2152034,2024-01-08,16
2024-01-08 17:00:00,1.98459e-05,0.0,2024-01-08,17
2024-01-08 18:00:00,0.0,0.0,2024-01-08,18
2024-01-08 19:00:00,0.0,0.0,2024-01-08,19
2024-01-08 20:00:00,0.0,0.0,2024-01-08,20
2024-01-08 21:00:00,0.0,0.0,2024-01-08,21
2024-01-08 22:00:00,0.0,0.0,2024-01-08,22
2024-01-08 23:00:00,0.0,0.0,2024-01-08,23
2024-01-09 00:00:00,0.0,0.0,2024-01-09,0
2024-01-09 01:00:00,0.0,0.0,2024-01-09,1
2024-01-09 02:00:00,0.0,0.0,2024-01-09,2
2024-01-09 03:00:00,0.0,0.0,2024-01-09,3
2024-01-09 04:00:00,0.0,0.0,2024-01-09,4
2024-01-09 05:00:00,0.0,0.0,2024-01-09,5
2024-01-09 06:00:00,0.03403671,0.1007902,2024-01-09,6
2024-01-09 07:00:00,0.08420714,0.08381258,2024-01-09,7
2024-01-09 08:00:00,0.1831536,0.1843119,2024-01-09,8
2024-01-09 09:00:00,0.3698605,0.4106972,2024-01-09,9
2024-01-09 10:00:00,0.5765729,0.7114039,2024-01-09,10
2024-01-09 11:00:00,0.5660257,0.6727393,2024-01-09,11
2024-01-09 12:00:00,0.6489779,0.8201889,2024-01-09,12
2024-01-09 13:00:00,0.3411575,0.3581153,2024-01-09,13
2024-01-09 14:00:00,0.175533,0.1733768,2024-01-09,14
2024-01-09 15:00:00,0.1689055,0.1826042,2024-01-09,15
2024-01-09 16:00:00,0.05316734,0.05975211,2024-01-09,16
2024-01-09 17:00:00,4.75368e-05,0.0,2024-01-09,17
2024-01-09 18:00:00,0.0,0.0,2024-01-09,18
2024-01-09 19:00:00,0.0,0.0,2024-01-09,19
2024-01-09 20:00:00,0.0,0.0,2024-01-09,20
2024-01-09 21:00:00,0.0,0.0,2024-01-09,21
2024-01-09 22:00:00,0.0,0.0,2024-01-09,22
2024-01-09 23:00:00,0.0,0.0,2024-01-09,23
2024-01-10 00:00:00,0.0,0.0,2024-01-10,0
2024-01-10 01:00:00,0.0,0.0,2024-01-10,1
2024-01-10 02:00:00,0.0,0.0,2024-01-10,2
2024-01-10 03:00:00,0.0,0.0,2024-01-10,3
2024-01-10 04:00:00,0.0,0.0,2024-01-10,4
2024-01-10 05:00:00,0.0,0.0,2024-01-10,5
2024-01-10 06:00:00,0.03388653,0.1007778,2024-01-10,6
2024-01-10 07:00:00,0.2223745,0.3513094,2024-01-10,7
2024-01-10 08:00:00,0.3847492,0.5205409,2024-01-10,8
2024-01-10 09:00:00,0.5920291,0.7871408,2024-01-10,9
2024-01-10 10:00:00,0.7208477,0.9373616,2024-01-10,10
2024-01-10 11:00:00,0.8586615,1.110589,2024-01-10,11
2024-01-10 12:00:00,0.8266898,1.073313,2024-01-10,12
2024-01-10 13:00:00,0.7148774,0.9457477,2024-01-10,13
2024-01-10 14:00:00,0.5634878,0.7800417,2024-01-10,14
2024-01-10 15:00:00,0.297874,0.4404775,2024-01-10,15
2024-01-10 16:00:00,0.1055527,0.2251454,2024-01-10,16
2024-01-10 17:00:00,0.000104584,0.0,2024-01-10,17
2024-01-10 18:00:00,0.0,0.0,2024-01-10,18
2024-01-10 19:00:00,0.0,0.0,2024-01-10,19
2024-01-10 20:00:00,0.0,0.0,2024-01-10,20
2024-01-10 21:00:00,0.0,0.0,2024-01-10,21
2024-01-10 22:00:00,0.0,0.0,2024-01-10,22
2024-01-10 23:00:00,0.0,0.0,2024-01-10,23
2024-01-11 00:00:00,0.0,0.0,2024-01-11,0
2024-01-11 01:00:00,0.0,0.0,2024-01-11,1
2024-01-11 02:00:00,0.0,0.0,2024-01-11,2
2024-01-11 03:00:00,0.0,0.0,2024-01-11,3
2024-01-11 04:00:00,0.0,0.0,2024-01-11,4
2024-01-11 05:00:00,0.0,0.0,2024-01-11,5
2024-01-11 06:00:00,0.03350469,0.09860823,2024-01-11,6
2024-01-11 07:00:00,0.188633,0.2663761,2024-01-11,7
2024-01-11 08:00:00,0.3338383,0.4202837,2024-01-11,8
2024-01-11 09:00:00,0.4262171,0.5023702,2024-01-11,9
2024-01-11 10:00:00,0.7587891,0.9876264,2024-01-11,10
2024-01-11 11:00:00,0.7238539,0.924913,2024-01-11,11
2024-01-11 12:00:00,0.6613024,0.8366526,2024-01-11,12
2024-01-11 13:00:00,0.3956497,0.434614,2024-01-11,13
2024-01-11 14:00:00,0.3546889,0.4204833,2024-01-11,14
2024-01-11 15:00:00,0.2251608,0.2800531,2024-01-11,15
2024-01-11 16:00:00,0.06602369,0.08335128,2024-01-11,16
2024-01-11 17:00:00,0.000173832,0.0,2024-01-11,17
2024-01-11 18:00:00,0.0,0.0,2024-01-11,18
2024-01-11 19:00:00,0.0,0.0,2024-01-11,19
2024-01-11 20:00:00,0.0,0.0,2024-01-11,20
2024-01-11 21:00:00,0.0,0.0,2024-01-11,21
2024-01-11 22:00:00,0.0,0.0,2024-01-11,22
2024-01-11 23:00:00,0.0,0.0,2024-01-11,23
2024-01-12 00:00:00,0.0,0.0,2024-01-12,0
2024-01-12 01:00:00,0.0,0.0,2024-01-12,1
2024-01-12 02:00:00,0.0,0.0,2024-01-12,2
2024-01-12 03:00:00,0.0,0.0,2024-01-12,3
2024-01-12 04:00:00,0.0,0.0,2024-01-12,4
2024-01-12 05:00:00,0.0,0.0,2024-01-12,5
2024-01-12 06:00:00,0.03451106,0.1081814,2024-01-12,6
2024-01-12 07:00:00,0.2369499,0.3846041,2024-01-12,7
2024-01-12 08:00:00,0.4281557,0.5987854,2024-01-12,8
2024-01-12 09:00:00,0.5477775,0.7135483,2024-01-12,9
2024-01-12 10:00:00,0.6438817,0.8189213,2024-01-12,10
2024-01-12 11:00:00,0.5814967,0.6948202,2024-01-12,11
2024-01-12 12:00:00,0.6710817,0.850383,2024-01-12,12
2024-01-12 13:00:00,0.5373241,0.669143,2024-01-12,13
2024-01-12 14:00:00,0.3132493,0.349245,2024-01-12,14
2024-01-12 15:00:00,0.2368022,0.3018363,2024-01-12,15
2024-01-12 16:00:00,0.08754901,0.1441094,2024-01-12,16
2024-01-12 17:00:00,0.000274894,0.0,2024-01-12,17
2024-01-12 18:00:00,0.0,0.0,2024-01-12,18
2024-01-12 19:00:00,0.0,0.0,2024-01-12,19
2024-01-12 20:00:00,0.0,0.0,2024-01-12,20
2024-01-12 21:00:00,0.0,0.0,2024-01-12,21
2024-01-12 22:00:00,0.0,0.0,2024-01-12,22
2024-01-12 23:00:00,0.0,0.0,2024-01-12,23
2024-01-13 00:00:00,0.0,0.0,2024-01-13,0
2024-01-13 01:00:00,0.0,0.0,2024-01-13,1
2024-01-13 02:00:00,0.0,0.0,2024-01-13,2
2024-01-13 03:00:00,0.0,0.0,2024-01-13,3
2024-01-13 04:00:00,0.0,0.0,2024-01-13,4
2024-01-13 05:00:00,0.0,0.0,2024-01-13,5
2024-01-13 06:00:00,0.03363863,0.101304,2024-01-13,6
2024-01-13 07:00:00,0.150054,0.1790707,2024-01-13,7
2024-01-13 08:00:00,0.3353001,0.4217084,2024-01-13,8
2024-01-13 09:00:00,0.1834282,0.1800455,2024-01-13,9
2024-01-13 10:00:00,0.347488,0.3566115,2024-01-13,10
2024-01-13 11:00:00,0.4088012,0.4290361,2024-01-13,11
2024-01-13 12:00:00,0.3788066,0.3926861,2024-01-13,12
2024-01-13 13:00:00,0.2897024,0.2923083,2024-01-13,13
2024-01-13 14:00:00,0.2612725,0.2727105,2024-01-13,14
2024-01-13 15:00:00,0.2078512,0.2430361,2024-01-13,15
2024-01-13 16:00:00,0.09138357,0.1525957,2024-01-13,16
2024-01-13 17:00:00,0.000432632,0.0,2024-01-13,17
2024-01-13 18:00:00,0.0,0.0,2024-01-13,18
2024-01-13 19:00:00,0.0,0.0,2024-01-13,19
2024-01-13 20:00:00,0.0,0.0,2024-01-13,20
2024-01-13 21:00:00,0.0,0.0,2024-01-13,21
2024-01-13 22:00:00,0.0,0.0,2024-01-13,22
2024-01-13 23:00:00,0.0,0.0,2024-01-13,23
2024-01-14 00:00:00,0.0,0.0,2024-01-14,0
2024-01-14 01:00:00,0.0,0.0,2024-01-14,1
2024-01-14 02:00:00,0.0,0.0,2024-01-14,2
2024-01-14 03:00:00,0.0,0.0,2024-01-14,3
2024-01-14 04:00:00,0.0,0.0,2024-01-14,4
2024-01-14 05:00:00,0.0,0.0,2024-01-14,5
2024-01-14 06:00:00,0.01061944,0.0110542,2024-01-14,6
2024-01-14 07:00:00,0.05119407,0.05031537,2024-01-14,7
2024-01-14 08:00:00,0.2269536,0.2388218,2024-01-14,8
2024-01-14 09:00:00,0.3797258,0.4236887,2024-01-14,9
2024-01-14 10:00:00,0.2841494,0.2827355,2024-01-14,10
2024-01-14 11:00:00,0.4193106,0.4426973,2024-01-14,11
2024-01-14 12:00:00,0.542614,0.6357892,2024-01-14,12
2024-01-14 13:00:00,0.56634,0.7145665,2024-01-14,13
2024-01-14 14:00:00,0.4191138,0.5322363,2024-01-14,14
2024-01-14 15:00:00,0.3035647,0.439601,2024-01-14,15
2024-01-14 16:00:00,0.0962258,0.1644842,2024-01-14,16
2024-01-14 17:00:00,0.000786998,0.0,2024-01-14,17
2024-01-14 18:00:00,0.0,0.0,2024-01-14,18
2024-01-14 19:00:00,0.0,0.0,2024-01-14,19
2024-01-14 20:00:00,0.0,0.0,2024-01-14,20
2024-01-14 21:00:00,0.0,0.0,2024-01-14,21
2024-01-14 22:00:00,0.0,0.0,2024-01-14,22
2024-01-14 23:00:00,0.0,0.0,2024-01-14,23
2024-01-15 00:00:00,0.0,0.0,2024-01-15,0
2024-01-15 01:00:00,0.0,0.0,2024-01-15,1
2024-01-15 02:00:00,0.0,0.0,2024-01-15,2
2024-01-15 03:00:00,0.0,0.0,2024-01-15,3
2024-01-15 04:00:00,0.0,0.0,2024-01-15,4
2024-01-15 05:00:00,0.0,0.0,2024-01-15,5
2024-01-15 06:00:00,0.02838568,0.06224892,2024-01-15,6
2024-01-15 07:00:00,0.174464,0.2306059,2024-01-15,7
2024-01-15 08:00:00,0.347448,0.4434263,2024-01-15,8
2024-01-15 09:00:00,0.5440795,0.7033172,2024-01-15,9
2024-01-15 10:00:00,0.6914247,0.8876168,2024-01-15,10
2024-01-15 11:00:00,0.7370249,0.9378092,2024-01-15,11
2024-01-15 12:00:00,0.7814665,1.00494,2024-01-15,12
2024-01-15 13:00:00,0.704566,0.9228293,2024-01-15,13
2024-01-15 14:00:00,0.5104842,0.690336,2024-01-15,14
2024-01-15 15:00:00,0.231737,0.2848193,2024-01-15,15
2024-01-15 16:00:00,0.1133159,0.2202886,2024-01-15,16
2024-01-15 17:00:00,0.000639642,0.0,2024-01-15,17
2024-01-15 18:00:00,0.0,0.0,2024-01-15,18
2024-01-15 19:00:00,0.0,0.0,2024-01-15,19
2024-01-15 20:00:00,0.0,0.0,2024-01-15,20
2024-01-15 21:00:00,0.0,0.0,2024-01-15,21
2024-01-15 22:00:00,0.0,0.0,2024-01-15,22
2024-01-15 23:00:00,0.0,0.0,2024-01-15,23
2024-01-16 00:00:00,0.0,0.0,2024-01-16,0
2024-01-16 01:00:00,0.0,0.0,2024-01-16,1
2024-01-16 02:00:00,0.0,0.0,2024-01-16,2
2024-01-16 03:00:00,0.0,0.0,2024-01-16,3
2024-01-16 04:00:00,0.0,0.0,2024-01-16,4
2024-01-16 05:00:00,0.0,0.0,2024-01-16,5
2024-01-16 06:00:00,0.03803358,0.1422191,2024-01-16,6
2024-01-16 07:00:00,0.251716,0.4121715,2024-01-16,7
2024-01-16 08:00:00,0.4652191,0.654438,2024-01-16,8
2024-01-16 09:00:00,0.6123279,0.8095455,2024-01-16,9
2024-01-16 10:00:00,0.5502974,0.6583867,2024-01-16,10
2024-01-16 11:00:00,0.4085346,0.4272613,2024-01-16,11
2024-01-16 12:00:00,0.2937426,0.291768,2024-01-16,12
2024-01-16 13:00:00,0.267132,0.2661669,2024-01-16,13
2024-01-16 14:00:00,0.294401,0.3166719,2024-01-16,14
2024-01-16 15:00:00,0.2347586,0.2886492,2024-01-16,15
2024-01-16 16:00:00,0.07036047,0.08386295,2024-01-16,16
2024-01-16 17:00:00,0.000922487,0.0,2024-01-16,17
2024-01-16 18:00:00,0.0,0.0,2024-01-16,18
2024-01-16 19:00:00,0.0,0.0,2024-01-16,19
2024-01-16 20:00:00,0.0,0.0,2024-01-16,20
2024-01-16 21:00:00,0.0,0.0,2024-01-16,21
2024-01-16 22:00:00,0.0,0.0,2024-01-16,22
2024-01-16 23:00:00,0.0,0.0,2024-01-16,23
2024-01-17 00:00:00,0.0,0.0,2024-01-17,0
2024-01-17 01:00:00,0.0,0.0,2024-01-17,1
2024-01-17 02:00:00,0.0,0.0,2024-01-17,2
2024-01-17 03:00:00,0.0,0.0,2024-01-17,3
2024-01-17 04:00:00,0.0,0.0,2024-01-17,4
2024-01-17 05:00:00,0.0,0.0,2024-01-17,5
2024-01-17 06:00:00,0.0339468,0.104733,2024-01-17,6
2024-01-17 07:00:00,0.171238,0.2220215,2024-01-17,7
2024-01-17 08:00:00,0.4115534,0.5627164,2024-01-17,8
2024-01-17 09:00:00,0.5916984,0.7768616,2024-01-17,9
2024-01-17 10:00:00,0.7551871,0.9738671,2024-01-17,10
2024-01-17 11:00:00,0.7719306,0.9838675,2024-01-17,11
2024-01-17 12:00:00,0.7441673,0.9502413,2024-01-17,12
2024-01-17 13:00:00,0.5371223,0.6586832,2024-01-17,13
2024-01-17 14:00:00,0.2700858,0.2821711,2024-01-17,14
2024-01-17 15:00:00,0.124848,0.1241039,2024-01-17,15
2024-01-17 16:00:00,0.06286163,0.06895778,2024-01-17,16
2024-01-17 17:00:00,0.000761793,0.0,2024-01-17,17
2024-01-17 18:00:00,0.0,0.0,2024-01-17,18
2024-01-17 19:00:00,0.0,0.0,2024-01-17,19
2024-01-17 20:00:00,0.0,0.0,2024-01-17,20
2024-01-17 21:00:00,0.0,0.0,2024-01-17,21
2024-01-17 22:00:00,0.0,0.0,2024-01-17,22
2024-01-17 23:00:00,0.0,0.0,2024-01-17,23
2024-01-18 00:00:00,0.0,0.0,2024-01-18,0
2024-01-18 01:00:00,0.0,0.0,2024-01-18,1
2024-01-18 02:00:00,0.0,0.0,2024-01-18,2
2024-01-18 03:00:00,0.0,0.0,2024-01-18,3
2024-01-18 04:00:00,0.0,0.0,2024-01-18,4
2024-01-18 05:00:00,0.0,0.0,2024-01-18,5
2024-01-18 06:00:00,0.02987726,0.07206707,2024-01-18,6
2024-01-18 07:00:00,0.2363068,0.3761653,2024-01-18,7
2024-01-18 08:00:00,0.2659327,0.2949809,2024-01-18,8
2024-01-18 09:00:00,0.4368182,0.5140257,2024-01-18,9
2024-01-18 10:00:00,0.4319878,0.4684432,2024-01-18,10
2024-01-18 11:00:00,0.5482967,0.63218,2024-01-18,11
2024-01-18 12:00:00,0.6447269,0.7968111,2024-01-18,12
2024-01-18 13:00:00,0.5468587,0.6730576,2024-01-18,13
2024-01-18 14:00:00,0.4482426,0.5755219,2024-01-18,14
2024-01-18 15:00:00,0.2808502,0.3786227,2024-01-18,15
2024-01-18 16:00:00,0.1206025,0.2264269,2024-01-18,16
2024-01-18 17:00:00,0.001332655,0.0,2024-01-18,17
2024-01-18 18:00:00,0.0,0.0,2024-01-18,18
2024-01-18 19:00:00,0.0,0.0,2024-01-18,19
2024-01-18 20:00:00,0.0,0.0,2024-01-18,20
2024-01-18 21:00:00,0.0,0.0,2024-01-18,21
2024-01-18 22:00:00,0.0,0.0,2024-01-18,22
2024-01-18 23:00:00,0.0,0.0,2024-01-18,23
2024-01-19 00:00:00,0.0,0.0,2024-01-19,0
2024-01-19 01:00:00,0.0,0.0,2024-01-19,1
2024-01-19 02:00:00,0.0,0.0,2024-01-19,2
2024-01-19 03:00:00,0.0,0.0,2024-01-19,3
2024-01-19 04:00:00,0.0,0.0,2024-01-19,4
2024-01-19 05:00:00,0.0,0.0,2024-01-19,5
2024-01-19 06:00:00,0.02949864,0.0690446,2024-01-19,6
