date_time,global_solar_kw/m2,incident_solar_kw/m2,date,hour
2024-01-01 00:00:00,0.0,0.0,2024-01-01,0
2024-01-01 01:00:00,0.0,0.0,2024-01-01,1
2024-01-01 02:00:00,0.0,0.0,2024-01-01,2
2024-01-01 03:00:00,0.0,0.0,2024-01-01,3
2024-01-01 04:00:00,0.0,0.0,2024-01-01,4
2024-01-01 05:00:00,0.0,0.0,2024-01-01,5
2024-01-01 06:00:00,0.01811987,0.04095938,2024-01-01,6
2024-01-01 07:00:00,0.174763,0.2728209,2024-01-01,7
2024-01-01 08:00:00,0.4038552,0.5861957,2024-01-01,8
2024-01-01 09:00:00,0.3685717,0.4211937,2024-01-01,9
2024-01-01 10:00:00,0.3997844,0.434705,2024-01-01,10
2024-01-01 11:00:00,0.6847106,0.8841047,2024-01-01,11
2024-01-01 12:00:00,0.5019267,0.5843068,2024-01-01,12
2024-01-01 13:00:00,0.4674234,0.5603404,2024-01-01,13
2024-01-01 14:00:00,0.2940287,0.3237127,2024-01-01,14
2024-01-01 15:00:00,0.194652,0.2239955,2024-01-01,15
2024-01-01 16:00:00,0.08481911,0.1347463,2024-01-01,16
2024-01-01 17:00:00,0.000587511,0.0,2024-01-01,17
2024-01-01 18:00:00,0.0,0.0,2024-01-01,18
2024-01-01 19:00:00,0.0,0.0,2024-01-01,19
2024-01-01 20:00:00,0.0,0.0,2024-01-01,20
2024-01-01 21:00:00,0.0,0.0,2024-01-01,21
2024-01-01 22:00:00,0.0,0.0,2024-01-01,22
2024-01-01 23:00:00,0.0,0.0,2024-01-01,23
2024-01-02 00:00:00,0.0,0.0,2024-01-02,0
2024-01-02 01:00:00,0.0,0.0,2024-01-02,1
2024-01-02 02:00:00,0.0,0.0,2024-01-02,2
2024-01-02 03:00:00,0.0,0.0,2024-01-02,3
2024-01-02 04:00:00,0.0,0.0,2024-01-02,4
2024-01-02 05:00:00,0.0,0.0,2024-01-02,5
2024-01-02 06:00:00,0.02191105,0.07328661,2024-01-02,6
2024-01-02 07:00:00,0.2131439,0.3758338,2024-01-02,7
2024-01-02 08:00:00,0.4548639,0.6690937,2024-01-02,8
2024-01-02 09:00:00,0.6089118,0.8322051,2024-01-02,9
2024-01-02 10:00:00,0.6151962,0.7947737,2024-01-02,10
2024-01-02 11:00:00,0.5568368,0.6702054,2024-01-02,11
2024-01-02 12:00:00,0.4934384,0.5694798,2024-01-02,12
2024-01-02 13:00:00,0.6244309,0.8282789,2024-01-02,13
2024-01-02 14:00:00,0.4627918,0.628635,2024-01-02,14
2024-01-02 15:00:00,0.3593606,0.5597767,2024-01-02,15
2024-01-02 16:00:00,0.1034315,0.1995048,2024-01-02,16
2024-01-02 17:00:00,0.000659026,0.0,2024-01-02,17
2024-01-02 18:00:00,0.0,0.0,2024-01-02,18
2024-01-02 19:00:00,0.0,0.0,2024-01-02,19
2024-01-02 20:00:00,0.0,0.0,2024-01-02,20
2024-01-02 21:00:00,0.0,0.0,2024-01-02,21
2024-01-02 22:00:00,0.0,0.0,2024-01-02,22
2024-01-02 23:00:00,0.0,0.0,2024-01-02,23
2024-01-03 00:00:00,0.0,0.0,2024-01-03,0
2024-01-03 01:00:00,0.0,0.0,2024-01-03,1
2024-01-03 02:00:00,0.0,0.0,2024-01-03,2
2024-01-03 03:00:00,0.0,0.0,2024-01-03,3
2024-01-03 04:00:00,0.0,0.0,2024-01-03,4
2024-01-03 05:00:00,0.0,0.0,2024-01-03,5
2024-01-03 06:00:00,0.01432746,0.02273985,2024-01-03,6
2024-01-03 07:00:00,0.168874,0.2580872,2024-01-03,7
2024-01-03 08:00:00,0.326445,0.4333401,2024-01-03,8
2024-01-03 09:00:00,0.3748145,0.4313963,2024-01-03,9
2024-01-03 10:00:00,0.7186041,0.9505013,2024-01-03,10
2024-01-03 11:00:00,0.5856739,0.7187102,2024-01-03,11
2024-01-03 12:00:00,0.4441503,0.4904078,2024-01-03,12
2024-01-03 13:00:00,0.516316,0.6443353,2024-01-03,13
2024-01-03 14:00:00,0.4540223,0.6108654,2024-01-03,14
2024-01-03 15:00:00,0.3233182,0.4923788,2024-01-03,15
2024-01-03 16:00:00,0.1046755,0.1988241,2024-01-03,16
2024-01-03 17:00:00,0.000584359,0.0,2024-01-03,17
2024-01-03 18:00:00,0.0,0.0,2024-01-03,18
2024-01-03 19:00:00,0.0,0.0,2024-01-03,19
2024-01-03 20:00:00,0.0,0.0,2024-01-03,20
2024-01-03 21:00:00,0.0,0.0,2024-01-03,21
2024-01-03 22:00:00,0.0,0.0,2024-01-03,22
2024-01-03 23:00:00,0.0,0.0,2024-01-03,23
2024-01-04 00:00:00,0.0,0.0,2024-01-04,0
2024-01-04 01:00:00,0.0,0.0,2024-01-04,1
2024-01-04 02:00:00,0.0,0.0,2024-01-04,2
2024-01-04 03:00:00,0.0,0.0,2024-01-04,3
2024-01-04 04:00:00,0.0,0.0,2024-01-04,4
2024-01-04 05:00:00,0.0,0.0,2024-01-04,5
2024-01-04 06:00:00,0.02161856,0.07485664,2024-01-04,6
2024-01-04 07:00:00,0.2268389,0.4070257,2024-01-04,7
2024-01-04 08:00:00,0.4505472,0.6616665,2024-01-04,8
2024-01-04 09:00:00,0.6256206,0.8545399,2024-01-04,9
2024-01-04 10:00:00,0.713526,0.9427789,2024-01-04,10
2024-01-04 11:00:00,0.7735357,1.010443,2024-01-04,11
2024-01-04 12:00:00,0.7912318,1.037647,2024-01-04,12
2024-01-04 13:00:00,0.6451659,0.8572476,2024-01-04,13
2024-01-04 14:00:00,0.5102037,0.7064456,2024-01-04,14
2024-01-04 15:00:00,0.340327,0.5225559,2024-01-04,15
2024-01-04 16:00:00,0.1375742,0.3066267,2024-01-04,16
2024-01-04 17:00:00,0.001219046,0.0,2024-01-04,17
2024-01-04 18:00:00,0.0,0.0,2024-01-04,18
2024-01-04 19:00:00,0.0,0.0,2024-01-04,19
2024-01-04 20:00:00,0.0,0.0,2024-01-04,20
2024-01-04 21:00:00,0.0,0.0,2024-01-04,21
2024-01-04 22:00:00,0.0,0.0,2024-01-04,22
2024-01-04 23:00:00,0.0,0.0,2024-01-04,23
2024-01-05 00:00:00,0.0,0.0,2024-01-05,0
2024-01-05 01:00:00,0.0,0.0,2024-01-05,1
2024-01-05 02:00:00,0.0,0.0,2024-01-05,2
2024-01-05 03:00:00,0.0,0.0,2024-01-05,3
2024-01-05 04:00:00,0.0,0.0,2024-01-05,4
2024-01-05 05:00:00,0.0,0.0,2024-01-05,5
2024-01-05 06:00:00,0.009656574,0.0,2024-01-05,6
2024-01-05 07:00:00,0.09907659,0.105555,2024-01-05,7
2024-01-05 08:00:00,0.2733615,0.3275183,2024-01-05,8
2024-01-05 09:00:00,0.3216232,0.3471273,2024-01-05,9
2024-01-05 10:00:00,0.5090854,0.6105698,2024-01-05,10
2024-01-05 11:00:00,0.6695452,0.8563915,2024-01-05,11
2024-01-05 12:00:00,0.6729801,0.8672721,2024-01-05,12
2024-01-05 13:00:00,0.5727963,0.7397739,2024-01-05,13
2024-01-05 14:00:00,0.3828725,0.4732519,2024-01-05,14
2024-01-05 15:00:00,0.2276208,0.2811438,2024-01-05,15
2024-01-05 16:00:00,0.07514972,0.09549352,2024-01-05,16
2024-01-05 17:00:00,0.001568023,0.0,2024-01-05,17
2024-01-05 18:00:00,0.0,0.0,2024-01-05,18
2024-01-05 19:00:00,0.0,0.0,2024-01-05,19
2024-01-05 20:00:00,0.0,0.0,2024-01-05,20
2024-01-05 21:00:00,0.0,0.0,2024-01-05,21
2024-01-05 22:00:00,0.0,0.0,2024-01-05,22
2024-01-05 23:00:00,0.0,0.0,2024-01-05,23
2024-01-06 00:00:00,0.0,0.0,2024-01-06,0
2024-01-06 01:00:00,0.0,0.0,2024-01-06,1
2024-01-06 02:00:00,0.0,0.0,2024-01-06,2
2024-01-06 03:00:00,0.0,0.0,2024-01-06,3
2024-01-06 04:00:00,0.0,0.0,2024-01-06,4
2024-01-06 05:00:00,0.0,0.0,2024-01-06,5
2024-01-06 06:00:00,0.01964821,0.0,2024-01-06,6
2024-01-06 07:00:00,0.1814961,0.2948822,2024-01-06,7
2024-01-06 08:00:00,0.3519118,0.4851167,2024-01-06,8
2024-01-06 09:00:00,0.453613,0.5706676,2024-01-06,9
2024-01-06 10:00:00,0.4833327,0.5659766,2024-01-06,10
2024-01-06 11:00:00,0.5227865,0.6096529,2024-01-06,11
2024-01-06 12:00:00,0.5985981,0.7436606,2024-01-06,12
2024-01-06 13:00:00,0.5955673,0.7762378,2024-01-06,13
2024-01-06 14:00:00,0.4620171,0.6196304,2024-01-06,14
2024-01-06 15:00:00,0.229693,0.283535,2024-01-06,15
2024-01-06 16:00:00,0.1078578,0.1945057,2024-01-06,16
2024-01-06 17:00:00,0.000843071,0.0,2024-01-06,17
2024-01-06 18:00:00,0.0,0.0,2024-01-06,18
2024-01-06 19:00:00,0.0,0.0,2024-01-06,19
2024-01-06 20:00:00,0.0,0.0,2024-01-06,20
2024-01-06 21:00:00,0.0,0.0,2024-01-06,21
2024-01-06 22:00:00,0.0,0.0,2024-01-06,22
2024-01-06 23:00:00,0.0,0.0,2024-01-06,23
2024-01-07 00:00:00,0.0,0.0,2024-01-07,0
2024-01-07 01:00:00,0.0,0.0,2024-01-07,1
2024-01-07 02:00:00,0.0,0.0,2024-01-07,2
2024-01-07 03:00:00,0.0,0.0,2024-01-07,3
2024-01-07 04:00:00,0.0,0.0,2024-01-07,4
2024-01-07 05:00:00,0.0,0.0,2024-01-07,5
2024-01-07 06:00:00,0.02067026,0.0,2024-01-07,6
2024-01-07 07:00:00,0.2124584,0.3753011,2024-01-07,7
2024-01-07 08:00:00,0.3657668,0.5124575,2024-01-07,8
2024-01-07 09:00:00,0.5393853,0.7219036,2024-01-07,9
2024-01-07 10:00:00,0.7163307,0.9438859,2024-01-07,10
2024-01-07 11:00:00,0.762291,0.9921395,2024-01-07,11
2024-01-07 12:00:00,0.711319,0.9231327,2024-01-07,12
2024-01-07 13:00:00,0.5951355,0.7738628,2024-01-07,13
2024-01-07 14:00:00,0.4802184,0.6500658,2024-01-07,14
2024-01-07 15:00:00,0.2959697,0.4241596,2024-01-07,15
2024-01-07 16:00:00,0.1106924,0.1994253,2024-01-07,16
2024-01-07 17:00:00,0.001340371,0.0,2024-01-07,17
2024-01-07 18:00:00,0.0,0.0,2024-01-07,18
2024-01-07 19:00:00,0.0,0.0,2024-01-07,19
2024-01-07 20:00:00,0.0,0.0,2024-01-07,20
2024-01-07 21:00:00,0.0,0.0,2024-01-07,21
2024-01-07 22:00:00,0.0,0.0,2024-01-07,22
2024-01-07 23:00:00,0.0,0.0,2024-01-07,23
2024-01-08 00:00:00,0.0,0.0,2024-01-08,0
2024-01-08 01:00:00,0.0,0.0,2024-01-08,1
2024-01-08 02:00:00,0.0,0.0,2024-01-08,2
2024-01-08 03:00:00,0.0,0.0,2024-01-08,3
2024-01-08 04:00:00,0.0,0.0,2024-01-08,4
2024-01-08 05:00:00,0.0,0.0,2024-01-08,5
2024-01-08 06:00:00,0.01216586,0.0,2024-01-08,6
2024-01-08 07:00:00,0.1375821,0.1786636,2024-01-08,7
2024-01-08 08:00:00,0.3298414,0.4391893,2024-01-08,8
2024-01-08 09:00:00,0.4093165,0.4893928,2024-01-08,9
2024-01-08 10:00:00,0.5409587,0.6633167,2024-01-08,10
2024-01-08 11:00:00,0.5801995,0.7043958,2024-01-08,11
2024-01-08 12:00:00,0.6044278,0.7507411,2024-01-08,12
2024-01-08 13:00:00,0.6360269,0.8373075,2024-01-08,13
2024-01-08 14:00:00,0.4756348,0.6398692,2024-01-08,14
2024-01-08 15:00:00,0.2909586,0.4103759,2024-01-08,15
2024-01-08 16:00:00,0.1271344,0.2520945,2024-01-08,16
2024-01-08 17:00:00,0.001416244,0.0,2024-01-08,17
2024-01-08 18:00:00,0.0,0.0,2024-01-08,18
2024-01-08 19:00:00,0.0,0.0,2024-01-08,19
2024-01-08 20:00:00,0.0,0.0,2024-01-08,20
2024-01-08 21:00:00,0.0,0.0,2024-01-08,21
2024-01-08 22:00:00,0.0,0.0,2024-01-08,22
2024-01-08 23:00:00,0.0,0.0,2024-01-08,23
2024-01-09 00:00:00,0.0,0.0,2024-01-09,0
2024-01-09 01:00:00,0.0,0.0,2024-01-09,1
2024-01-09 02:00:00,0.0,0.0,2024-01-09,2
2024-01-09 03:00:00,0.0,0.0,2024-01-09,3
2024-01-09 04:00:00,0.0,0.0,2024-01-09,4
2024-01-09 05:00:00,0.0,0.0,2024-01-09,5
2024-01-09 06:00:00,0.01866166,0.0,2024-01-09,6
2024-01-09 07:00:00,0.08070679,0.08172649,2024-01-09,7
2024-01-09 08:00:00,0.1893379,0.1951144,2024-01-09,8
2024-01-09 09:00:00,0.3810414,0.4399036,2024-01-09,9
2024-01-09 10:00:00,0.588864,0.7444676,2024-01-09,10
2024-01-09 11:00:00,0.5914521,0.7222569,2024-01-09,11
2024-01-09 12:00:00,0.6757653,0.8659201,2024-01-09,12
2024-01-09 13:00:00,0.37911,0.4097681,2024-01-09,13
2024-01-09 14:00:00,0.2076383,0.2073324,2024-01-09,14
2024-01-09 15:00:00,0.1976368,0.2206495,2024-01-09,15
2024-01-09 16:00:00,0.07192051,0.08258978,2024-01-09,16
2024-01-09 17:00:00,0.00150671,0.0,2024-01-09,17
2024-01-09 18:00:00,0.0,0.0,2024-01-09,18
2024-01-09 19:00:00,0.0,0.0,2024-01-09,19
2024-01-09 20:00:00,0.0,0.0,2024-01-09,20
2024-01-09 21:00:00,0.0,0.0,2024-01-09,21
2024-01-09 22:00:00,0.0,0.0,2024-01-09,22
2024-01-09 23:00:00,0.0,0.0,2024-01-09,23
2024-01-10 00:00:00,0.0,0.0,2024-01-10,0
2024-01-10 01:00:00,0.0,0.0,2024-01-10,1
2024-01-10 02:00:00,0.0,0.0,2024-01-10,2
2024-01-10 03:00:00,0.0,0.0,2024-01-10,3
2024-01-10 04:00:00,0.0,0.0,2024-01-10,4
2024-01-10 05:00:00,0.0,0.0,2024-01-10,5
2024-01-10 06:00:00,0.0184996,0.0,2024-01-10,6
2024-01-10 07:00:00,0.1936714,0.3277862,2024-01-10,7
2024-01-10 08:00:00,0.3662932,0.511528,2024-01-10,8
2024-01-10 09:00:00,0.5754692,0.7765599,2024-01-10,9
2024-01-10 10:00:00,0.7117826,0.934211,2024-01-10,10
2024-01-10 11:00:00,0.8519788,1.108644,2024-01-10,11
2024-01-10 12:00:00,0.8324261,1.085159,2024-01-10,12
2024-01-10 13:00:00,0.7301853,0.9674979,2024-01-10,13
2024-01-10 14:00:00,0.5874413,0.8107622,2024-01-10,14
2024-01-10 15:00:00,0.3272501,0.4810935,2024-01-10,15
2024-01-10 16:00:00,0.1334269,0.2615027,2024-01-10,16
2024-01-10 17:00:00,0.001972944,0.0,2024-01-10,17
2024-01-10 18:00:00,0.0,0.0,2024-01-10,18
2024-01-10 19:00:00,0.0,0.0,2024-01-10,19
2024-01-10 20:00:00,0.0,0.0,2024-01-10,20
2024-01-10 21:00:00,0.0,0.0,2024-01-10,21
2024-01-10 22:00:00,0.0,0.0,2024-01-10,22
2024-01-10 23:00:00,0.0,0.0,2024-01-10,23
2024-01-11 00:00:00,0.0,0.0,2024-01-11,0
2024-01-11 01:00:00,0.0,0.0,2024-01-11,1
2024-01-11 02:00:00,0.0,0.0,2024-01-11,2
2024-01-11 03:00:00,0.0,0.0,2024-01-11,3
2024-01-11 04:00:00,0.0,0.0,2024-01-11,4
2024-01-11 05:00:00,0.0,0.0,2024-01-11,5
2024-01-11 06:00:00,0.01828607,0.0,2024-01-11,6
2024-01-11 07:00:00,0.1665854,0.2534777,2024-01-11,7
2024-01-11 08:00:00,0.3229223,0.4233346,2024-01-11,8
2024-01-11 09:00:00,0.4292584,0.5229153,2024-01-11,9
2024-01-11 10:00:00,0.7501341,0.9849722,2024-01-11,10
2024-01-11 11:00:00,0.732292,0.9444581,2024-01-11,11
2024-01-11 12:00:00,0.6815844,0.8717538,2024-01-11,12
2024-01-11 13:00:00,0.4290108,0.4843528,2024-01-11,13
2024-01-11 14:00:00,0.3866282,0.469681,2024-01-11,14
2024-01-11 15:00:00,0.2546036,0.3241878,2024-01-11,15
2024-01-11 16:00:00,0.08687392,0.1109511,2024-01-11,16
2024-01-11 17:00:00,0.002272772,0.0,2024-01-11,17
2024-01-11 18:00:00,0.0,0.0,2024-01-11,18
2024-01-11 19:00:00,0.0,0.0,2024-01-11,19
2024-01-11 20:00:00,0.0,0.0,2024-01-11,20
2024-01-11 21:00:00,0.0,0.0,2024-01-11,21
2024-01-11 22:00:00,0.0,0.0,2024-01-11,22
2024-01-11 23:00:00,0.0,0.0,2024-01-11,23
2024-01-12 00:00:00,0.0,0.0,2024-01-12,0
2024-01-12 01:00:00,0.0,0.0,2024-01-12,1
2024-01-12 02:00:00,0.0,0.0,2024-01-12,2
2024-01-12 03:00:00,0.0,0.0,2024-01-12,3
2024-01-12 04:00:00,0.0,0.0,2024-01-12,4
2024-01-12 05:00:00,0.0,0.0,2024-01-12,5
2024-01-12 06:00:00,0.018777,0.0,2024-01-12,6
2024-01-12 07:00:00,0.205126,0.3556079,2024-01-12,7
2024-01-12 08:00:00,0.4032221,0.5785894,2024-01-12,8
2024-01-12 09:00:00,0.5338593,0.7074097,2024-01-12,9
2024-01-12 10:00:00,0.6390398,0.8230249,2024-01-12,10
2024-01-12 11:00:00,0.5938193,0.7222669,2024-01-12,11
2024-01-12 12:00:00,0.6838686,0.8735811,2024-01-12,12
2024-01-12 13:00:00,0.5615655,0.7081023,2024-01-12,13
2024-01-12 14:00:00,0.3447189,0.3946312,2024-01-12,14
2024-01-12 15:00:00,0.2640766,0.3415153,2024-01-12,15
2024-01-12 16:00:00,0.1115627,0.1774334,2024-01-12,16
2024-01-12 17:00:00,0.002713296,0.0,2024-01-12,17
2024-01-12 18:00:00,0.0,0.0,2024-01-12,18
2024-01-12 19:00:00,0.0,0.0,2024-01-12,19
2024-01-12 20:00:00,0.0,0.0,2024-01-12,20
2024-01-12 21:00:00,0.0,0.0,2024-01-12,21
2024-01-12 22:00:00,0.0,0.0,2024-01-12,22
2024-01-12 23:00:00,0.0,0.0,2024-01-12,23
2024-01-13 00:00:00,0.0,0.0,2024-01-13,0
2024-01-13 01:00:00,0.0,0.0,2024-01-13,1
2024-01-13 02:00:00,0.0,0.0,2024-01-13,2
2024-01-13 03:00:00,0.0,0.0,2024-01-13,3
2024-01-13 04:00:00,0.0,0.0,2024-01-13,4
2024-01-13 05:00:00,0.0,0.0,2024-01-13,5
2024-01-13 06:00:00,0.01834562,0.0,2024-01-13,6
2024-01-13 07:00:00,0.1357692,0.1741126,2024-01-13,7
2024-01-13 08:00:00,0.3268085,0.4296452,2024-01-13,8
2024-01-13 09:00:00,0.2034038,0.2009086,2024-01-13,9
2024-01-13 10:00:00,0.37538,0.3962693,2024-01-13,10
2024-01-13 11:00:00,0.4436688,0.480407,2024-01-13,11
2024-01-13 12:00:00,0.4183582,0.446325,2024-01-13,12
2024-01-13 13:00:00,0.3291587,0.3395139,2024-01-13,13
2024-01-13 14:00:00,0.2982495,0.3208347,2024-01-13,14
2024-01-13 15:00:00,0.2388164,0.2884707,2024-01-13,15
2024-01-13 16:00:00,0.1167465,0.1893958,2024-01-13,16
2024-01-13 17:00:00,0.003407077,0.0,2024-01-13,17
2024-01-13 18:00:00,0.0,0.0,2024-01-13,18
2024-01-13 19:00:00,0.0,0.0,2024-01-13,19
2024-01-13 20:00:00,0.0,0.0,2024-01-13,20
2024-01-13 21:00:00,0.0,0.0,2024-01-13,21
2024-01-13 22:00:00,0.0,0.0,2024-01-13,22
2024-01-13 23:00:00,0.0,0.0,2024-01-13,23
2024-01-14 00:00:00,0.0,0.0,2024-01-14,0
2024-01-14 01:00:00,0.0,0.0,2024-01-14,1
2024-01-14 02:00:00,0.0,0.0,2024-01-14,2
2024-01-14 03:00:00,0.0,0.0,2024-01-14,3
2024-01-14 04:00:00,0.0,0.0,2024-01-14,4
2024-01-14 05:00:00,0.0,0.0,2024-01-14,5
2024-01-14 06:00:00,0.005812539,0.0,2024-01-14,6
2024-01-14 07:00:00,0.05054557,0.04988846,2024-01-14,7
2024-01-14 08:00:00,0.2303221,0.2519032,2024-01-14,8
2024-01-14 09:00:00,0.3948639,0.4601556,2024-01-14,9
2024-01-14 10:00:00,0.315964,0.3203429,2024-01-14,10
2024-01-14 11:00:00,0.4596119,0.5031367,2024-01-14,11
2024-01-14 12:00:00,0.5853127,0.7089959,2024-01-14,12
2024-01-14 13:00:00,0.6064211,0.778941,2024-01-14,13
2024-01-14 14:00:00,0.4590129,0.5961434,2024-01-14,14
2024-01-14 15:00:00,0.3376642,0.4895829,2024-01-14,15
2024-01-14 16:00:00,0.1232127,0.2053072,2024-01-14,16
2024-01-14 17:00:00,0.005189667,0.0,2024-01-14,17
2024-01-14 18:00:00,0.0,0.0,2024-01-14,18
2024-01-14 19:00:00,0.0,0.0,2024-01-14,19
2024-01-14 20:00:00,0.0,0.0,2024-01-14,20
2024-01-14 21:00:00,0.0,0.0,2024-01-14,21
2024-01-14 22:00:00,0.0,0.0,2024-01-14,22
2024-01-14 23:00:00,0.0,0.0,2024-01-14,23
2024-01-15 00:00:00,0.0,0.0,2024-01-15,0
2024-01-15 01:00:00,0.0,0.0,2024-01-15,1
2024-01-15 02:00:00,0.0,0.0,2024-01-15,2
2024-01-15 03:00:00,0.0,0.0,2024-01-15,3
2024-01-15 04:00:00,0.0,0.0,2024-01-15,4
2024-01-15 05:00:00,0.0,0.0,2024-01-15,5
2024-01-15 06:00:00,0.01559904,0.0,2024-01-15,6
2024-01-15 07:00:00,0.1549066,0.2202201,2024-01-15,7
2024-01-15 08:00:00,0.3337828,0.4417411,2024-01-15,8
2024-01-15 09:00:00,0.5319391,0.7000856,2024-01-15,9
2024-01-15 10:00:00,0.6843188,0.8877296,2024-01-15,10
2024-01-15 11:00:00,0.7394543,0.948402,2024-01-15,11
2024-01-15 12:00:00,0.7900402,1.020165,2024-01-15,12
2024-01-15 13:00:00,0.7219477,0.9473117,2024-01-15,13
2024-01-15 14:00:00,0.5363252,0.7254789,2024-01-15,14
2024-01-15 15:00:00,0.260658,0.3272396,2024-01-15,15
2024-01-15 16:00:00,0.1407062,0.25606,2024-01-15,16
2024-01-15 17:00:00,0.003660936,0.0,2024-01-15,17
2024-01-15 18:00:00,0.0,0.0,2024-01-15,18
2024-01-15 19:00:00,0.0,0.0,2024-01-15,19
2024-01-15 20:00:00,0.0,0.0,2024-01-15,20
2024-01-15 21:00:00,0.0,0.0,2024-01-15,21
2024-01-15 22:00:00,0.0,0.0,2024-01-15,22
2024-01-15 23:00:00,0.0,0.0,2024-01-15,23
2024-01-16 00:00:00,0.0,0.0,2024-01-16,0
2024-01-16 01:00:00,0.0,0.0,2024-01-16,1
2024-01-16 02:00:00,0.0,0.0,2024-01-16,2
2024-01-16 03:00:00,0.0,0.0,2024-01-16,3
2024-01-16 04:00:00,0.0,0.0,2024-01-16,4
2024-01-16 05:00:00,0.0,0.0,2024-01-16,5
2024-01-16 06:00:00,0.02055391,0.0,2024-01-16,6
2024-01-16 07:00:00,0.2175884,0.3797407,2024-01-16,7
2024-01-16 08:00:00,0.4374908,0.6298119,2024-01-16,8
2024-01-16 09:00:00,0.5968274,0.8002347,2024-01-16,9
2024-01-16 10:00:00,0.5582798,0.68326,2024-01-16,10
2024-01-16 11:00:00,0.4369833,0.4687952,2024-01-16,11
2024-01-16 12:00:00,0.3306471,0.3332534,2024-01-16,12
2024-01-16 13:00:00,0.3041339,0.3078567,2024-01-16,13
2024-01-16 14:00:00,0.3278356,0.3624296,2024-01-16,14
2024-01-16 15:00:00,0.2645615,0.3327193,2024-01-16,15
2024-01-16 16:00:00,0.09171315,0.1116172,2024-01-16,16
2024-01-16 17:00:00,0.004606908,0.0,2024-01-16,17
2024-01-16 18:00:00,0.0,0.0,2024-01-16,18
2024-01-16 19:00:00,0.0,0.0,2024-01-16,19
2024-01-16 20:00:00,0.0,0.0,2024-01-16,20
2024-01-16 21:00:00,0.0,0.0,2024-01-16,21
2024-01-16 22:00:00,0.0,0.0,2024-01-16,22
2024-01-16 23:00:00,0.0,0.0,2024-01-16,23
2024-01-17 00:00:00,0.0,0.0,2024-01-17,0
2024-01-17 01:00:00,0.0,0.0,2024-01-17,1
2024-01-17 02:00:00,0.0,0.0,2024-01-17,2
2024-01-17 03:00:00,0.0,0.0,2024-01-17,3
2024-01-17 04:00:00,0.0,0.0,2024-01-17,4
2024-01-17 05:00:00,0.0,0.0,2024-01-17,5
2024-01-17 06:00:00,0.01845505,0.0,2024-01-17,6
2024-01-17 07:00:00,0.152742,0.2131919,2024-01-17,7
2024-01-17 08:00:00,0.391821,0.5515214,2024-01-17,8
2024-01-17 09:00:00,0.5786173,0.771551,2024-01-17,9
2024-01-17 10:00:00,0.7493114,0.9746497,2024-01-17,10
2024-01-17 11:00:00,0.7772908,0.9978284,2024-01-17,11
2024-01-17 12:00:00,0.7605596,0.9769139,2024-01-17,12
2024-01-17 13:00:00,0.5667271,0.7064336,2024-01-17,13
2024-01-17 14:00:00,0.304628,0.32675,2024-01-17,14
2024-01-17 15:00:00,0.1533052,0.1547199,2024-01-17,15
2024-01-17 16:00:00,0.0831451,0.09360944,2024-01-17,16
2024-01-17 17:00:00,0.003515735,0.0,2024-01-17,17
2024-01-17 18:00:00,0.0,0.0,2024-01-17,18
2024-01-17 19:00:00,0.0,0.0,2024-01-17,19
2024-01-17 20:00:00,0.0,0.0,2024-01-17,20
2024-01-17 21:00:00,0.0,0.0,2024-01-17,21
2024-01-17 22:00:00,0.0,0.0,2024-01-17,22
2024-01-17 23:00:00,0.0,0.0,2024-01-17,23
2024-01-18 00:00:00,0.0,0.0,2024-01-18,0
2024-01-18 01:00:00,0.0,0.0,2024-01-18,1
2024-01-18 02:00:00,0.0,0.0,2024-01-18,2
2024-01-18 03:00:00,0.0,0.0,2024-01-18,3
2024-01-18 04:00:00,0.0,0.0,2024-01-18,4
2024-01-18 05:00:00,0.0,0.0,2024-01-18,5
2024-01-18 06:00:00,0.01637661,0.0,2024-01-18,6
2024-01-18 07:00:00,0.2052955,0.3488501,2024-01-18,7
2024-01-18 08:00:00,0.2628323,0.3033243,2024-01-18,8
2024-01-18 09:00:00,0.4379741,0.5310383,2024-01-18,9
2024-01-18 10:00:00,0.4491621,0.5008584,2024-01-18,10
2024-01-18 11:00:00,0.5668691,0.668387,2024-01-18,11
2024-01-18 12:00:00,0.6640193,0.8307072,2024-01-18,12
2024-01-18 13:00:00,0.5743439,0.7170309,2024-01-18,13
2024-01-18 14:00:00,0.4780354,0.6200489,2024-01-18,14
2024-01-18 15:00:00,0.3110102,0.4227013,2024-01-18,15
2024-01-18 16:00:00,0.1483979,0.2627492,2024-01-18,16
2024-01-18 17:00:00,0.005441852,0.0,2024-01-18,17
2024-01-18 18:00:00,0.0,0.0,2024-01-18,18
2024-01-18 19:00:00,0.0,0.0,2024-01-18,19
2024-01-18 20:00:00,0.0,0.0,2024-01-18,20
2024-01-18 21:00:00,0.0,0.0,2024-01-18,21
2024-01-18 22:00:00,0.0,0.0,2024-01-18,22
2024-01-18 23:00:00,0.0,0.0,2024-01-18,23
2024-01-19 00:00:00,0.0,0.0,2024-01-19,0
2024-01-19 01:00:00,0.0,0.0,2024-01-19,1
2024-01-19 02:00:00,0.0,0.0,2024-01-19,2
2024-01-19 03:00:00,0.0,0.0,2024-01-19,3
2024-01-19 04:00:00,0.0,0.0,2024-01-19,4
2024-01-19 05:00:00,0.0,0.0,2024-01-19,5
2024-01-19 06:00:00,0.0162252,0.0,2024-01-19,6
2024-01-19 07:00:00,0.1842253,0.2940346,2024-01-19,7
